0x804db738 ntosk__SecondsToStartOf1980
0x804db740 ntosk__Magic10000
0x804db748 ntosk__Magic10000000
0x804db750 ntosk__Magic86400000
0x804dc030 ntosk_aBadIrqlNeededX_0
0x804dc058 ntosk_aVf
0x804dc070 ntosk_aHalVerifierDet
0x804dc0b4 ntosk_aBadIrqlNeededX
0x804dc0e4 ntosk_aAllocatedTooMa
0x804dc114 ntosk_aAllocatingTooM
0x804dc150 ntosk_aFreedTooManyMa
0x804dc174 ntosk_aFreedTooManyCo
0x804dc198 ntosk_aDriverDidNotFl
0x804dc1dc ntosk_aDriverHasAlloc
0x804dc218 ntosk_aDriverHasFreed
0x804dc250 ntosk_aDriverHasFreed_0
0x804dc298 ntosk_aDmaPagesNotLoc
0x804dc3a8 ntosk__EventTraceGuid
0x804dc3b8 ntosk__SystemTraceControlGuid
0x804dc3c8 ntosk__EventTraceConfigGuid
0x804dc3d8 ntosk__PoolGuid
0x804dc3e8 ntosk__PerfinfoGuid
0x804dc3f8 ntosk__HeapGuid
0x804dc408 ntosk__CritSecGuid
0x804dc418 ntosk__NtdllTraceGuid
0x804dc428 ntosk__ObjectGuid
0x804dc438 ntosk__ModBoundGuid
0x804dc448 ntosk__PowerGuid
0x804dc458 ntosk__DpcGuid
0x804dc474 ntosk__WmipDataProviderPnpidGuid
0x804dc484 ntosk__WmipDataProviderPnPIdInstanceNamesGuid
0x804dc4e4 ntosk__PerfNullHookHandle
0x804dc500 ntosk__ExpProtectedPoolBlockMessage
0x804dc54c ntosk__ExpCallBackReturnRefs
0x804dc54d ntosk__ExTraceAllTables
0x804dc778 ntosk__abWPAStringKey
0x804dc950 ntosk__ExpLuidIncrement
0x804dcb78 ntosk__LsapEvent
0x804dcbcc ntosk__LsapPort
0x804dcc08 ntosk___DEFAULT_CW_in_mem
0x804dcc0a ntosk___pi_by_2_to_61
0x804dcc48 ntosk____lookuptable
0x804dcca4 ntosk_aNull
0x804dccb4 ntosk_aNull_0
0x804dccc0 ntosk___ctype
0x804dcec8 ntosk___wctype
0x804dd0cc ntosk_aNextafter
0x804dd0d8 ntosk_aLogb
0x804dd0e0 ntosk_aYn
0x804dd0e4 ntosk_aY1
0x804dd0e8 ntosk_aY0
0x804dd0ec ntosk_aFrexp
0x804dd0f4 ntosk_aFmod
0x804dd0fc ntosk_aHypot
0x804dd104 ntosk_aCabs
0x804dd10c ntosk_aLdexp
0x804dd114 ntosk_aModf
0x804dd11c ntosk_aFabs
0x804dd124 ntosk_aFloor
0x804dd12c ntosk_aCeil
0x804dd134 ntosk_aTan
0x804dd138 ntosk_aCos
0x804dd13c ntosk_aSin
0x804dd140 ntosk_aSqrt
0x804dd148 ntosk_aAtan2
0x804dd150 ntosk_aAtan
0x804dd158 ntosk_aAcos
0x804dd160 ntosk_aAsin
0x804dd168 ntosk_aTanh
0x804dd170 ntosk_aCosh
